time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
35,528.2376,542.1069,547.522,547.522,547.522,547.522,524.711,524.711,524.711,524.711,373.244,508.1347,1132.12,1140.507,285.8571,285.8571,285.8571,285.8571,89,80.47362,13506700,13431040,13375080,13375080,13375080,13375080,13503640,13503640,13503640,13503640,4555724,3061142,3061584,3061584,3061584,3061584,9313778,63865530,32623850,73179300,130495400,13330840,9939169.0
36,527.7219,541.5645,546.5675,546.5675,546.5675,546.5675,524.1478,524.1478,524.1478,524.1478,373.2438,508.0756,1133.523,1142.724,286.4378,286.4378,286.4378,286.4378,89,78.47761,13524820,13449030,13393010,13393010,13393010,13393010,13521830,13521830,13521830,13521830,4552420,3057899,3058336,3058336,3058336,3058336,9310411,63842430,32007180,73152840,128028700,13356990,9990013.0
37,527.2112,541.0504,545.6975,545.6975,545.6975,545.6975,523.6366,523.6366,523.6366,523.6366,373.2437,508.0402,1135.25,1144.701,286.9008,286.9008,286.9008,286.9008,89,78.51644,13561600,13485670,13429560,13429560,13429560,13429560,13558630,13558630,13558630,13558630,4550354,3056238,3056680,3056680,3056680,3056680,9309310,63834840,31443190,73144140,125772800,13391780,9980644.0
38,526.6945,540.5452,544.9033,544.9033,544.9033,544.9033,523.1687,523.1687,523.1687,523.1687,373.2436,508.0119,1136.956,1146.385,287.2693,287.2693,287.2693,287.2693,89,78.4394,13605000,13528930,13472710,13472710,13472710,13472710,13602040,13602040,13602040,13602040,4548389,3054670,3055125,3055125,3055125,3055125,9309912,63838960,30932490,73148870,123729900,13433760,9979634.0
39,526.1691,540.0374,544.1835,544.1835,544.1835,544.1835,522.739,522.739,522.739,522.739,373.2434,507.9848,1138.563,1147.841,287.5764,287.5764,287.5764,287.5764,89,78.19503,13650020,13573820,13517500,13517500,13517500,13517500,13647060,13647060,13647060,13647060,4546480,3053129,3053606,3053606,3053606,3053606,9311269,63848260,30469790,73159540,121879200,13478190,9980137.0
40,525.6382,539.5104,543.5258,543.5258,543.5258,543.5258,522.3458,522.3458,522.3458,522.3458,373.2433,507.9566,1140.062,1149.152,287.857,287.857,287.857,287.857,89,76.99164,13693730,13617410,13561020,13561020,13561020,13561020,13690780,13690780,13690780,13690780,4544264,3051175,3051693,3051693,3051693,3051693,9311947,63852920,30058300,73164860,120233200,13521840,9978932.0
41,525.1095,538.9766,542.9163,542.9163,542.9163,542.9163,521.9742,521.9742,521.9742,521.9742,373.2431,507.8997,1141.52,1150.304,288.1074,288.1074,288.1074,288.1074,89,73.14364,13735780,13659330,13602860,13602860,13602860,13602860,13732820,13732820,13732820,13732820,4541336,3047608,3048240,3048240,3048240,3048240,9311858,63852300,29688830,73164160,118755300,13564040,9978169.0
42,524.5914,538.443,542.3391,542.3391,542.3391,542.3391,521.6332,521.6332,521.6332,521.6332,373.2431,507.8892,1142.926,1151.388,288.3395,288.3395,288.3395,288.3395,89,77.81975,13775430,13698880,13642340,13642340,13642340,13642340,13772480,13772480,13772480,13772480,4541580,3049045,3049747,3049747,3049747,3049747,9310499,63842990,29280020,73153490,117120100,13603530,9977214.0
43,524.0917,537.9172,541.7784,541.7784,541.7784,541.7784,521.3282,521.3282,521.3282,521.3282,373.2431,507.9148,1143.943,1152.719,288.6939,288.6939,288.6939,288.6939,89,81.377,13812540,13735880,13679310,13679310,13679310,13679310,13809610,13809610,13809610,13809610,4542440,3050293,3050988,3050988,3050988,3050988,9307064,63819380,28916960,73126450,115667800,13641840,9975741.0
44,523.6183,537.4099,541.2319,541.2319,541.2319,541.2319,521.0225,521.0225,521.0225,521.0225,373.2431,507.9253,1145.725,1153.379,288.8017,288.8017,288.8017,288.8017,89,82.54262,13858350,13781580,13724890,13724890,13724890,13724890,13855390,13855390,13855390,13855390,4541828,3049981,3050666,3050666,3050666,3050666,9304468,63801610,28572530,73106070,114290100,13683320,9982277.0
45,523.1721,536.9244,540.6929,540.6929,540.6929,540.6929,520.7164,520.7164,520.7164,520.7164,373.243,507.917,1147.047,1154.234,289.0067,289.0067,289.0067,289.0067,89,83.05019,13903570,13826690,13769940,13769940,13769940,13769940,13900620,13900620,13900620,13900620,4540860,3049267,3049940,3049940,3049940,3049940,9301123,63778700,28234650,73079820,112938600,13730660,9980264.0
46,522.7548,536.4655,540.152,540.152,540.152,540.152,520.411,520.411,520.411,520.411,373.243,507.9034,1148.345,1155.193,289.248,289.248,289.248,289.248,89,83.43861,13949880,13872900,13816090,13816090,13816090,13816090,13946940,13946940,13946940,13946940,4539791,3048466,3049125,3049125,3049125,3049125,9297388,63753100,27897370,73050490,111589500,13777350,9977688.0
47,522.3646,536.0342,539.6021,539.6021,539.6021,539.6021,520.1039,520.1039,520.1039,520.1039,373.2429,507.8878,1149.664,1156.201,289.5007,289.5007,289.5007,289.5007,89,83.61344,13994830,13917760,13860870,13860870,13860870,13860870,13991890,13991890,13991890,13991890,4538600,3047546,3048192,3048192,3048192,3048192,9293584,63726990,27561980,73020580,110247900,13821040,9977914.0
48,521.9977,535.6298,539.0552,539.0552,539.0552,539.0552,519.7927,519.7927,519.7927,519.7927,373.2428,507.8701,1150.918,1157.144,289.728,289.728,289.728,289.728,89,83.59223,14037770,13960600,13903640,13903640,13903640,13903640,14034840,14034840,14034840,14034840,4537313,3046520,3047153,3047153,3047153,3047153,9290433,63705400,27229540,72995830,108918200,13864000,9978446.0
49,521.6501,535.2507,538.524,538.524,538.524,538.524,519.4851,519.4851,519.4851,519.4851,373.2427,507.8512,1152.075,1158.159,289.9772,289.9772,289.9772,289.9772,89,83.50343,14081720,14004460,13947440,13947440,13947440,13947440,14078800,14078800,14078800,14078800,4536028,3045475,3046096,3046096,3046096,3046096,9287600,63685970,26905990,72973580,107623900,13907890,9978395.0
50,521.3168,534.8926,538.014,538.014,538.014,538.014,519.1881,519.1881,519.1881,519.1881,373.2426,507.8351,1153.232,1159.103,290.195,290.195,290.195,290.195,89,85.07116,14126280,14048930,13991840,13991840,13991840,13991840,14123360,14123360,14123360,14123360,4535614,3045149,3045758,3045758,3045758,3045758,9285652,63672610,26579640,72958260,106318500,13952460,9978272.0
51,520.9164,534.4703,537.2902,537.2902,537.2902,537.2902,518.8295,518.8295,518.8295,518.8295,373.2426,507.8303,1155.519,1158.335,289.8586,289.8586,289.8586,289.8586,89,84.98469,13846140,13768650,13711360,13711360,13711360,13711360,13843140,13843140,13843140,13843140,4533996,3044112,3044706,3044706,3044706,3044706,9294700,63734700,26190940,73029400,104763800,13668750,10087590.0
52,520.5635,534.1025,536.7372,536.7372,536.7372,536.7372,518.4479,518.4479,518.4479,518.4479,373.2424,507.7968,1155.455,1159.891,290.2947,290.2947,290.2947,290.2947,89,83.41972,13735500,13657980,13600740,13600740,13600740,13600740,13732580,13732580,13732580,13732580,4531710,3042138,3042721,3042721,3042721,3042721,9288634,63693120,25814440,72981760,103257800,13565870,10060720.0
53,520.2278,533.7523,536.3093,536.3093,536.3093,536.3093,518.1744,518.1744,518.1744,518.1744,373.2423,507.7736,1155.797,1161.413,290.7188,290.7188,290.7188,290.7188,89,83.32029,13674050,13596480,13539240,13539240,13539240,13539240,13671140,13671140,13671140,13671140,4530606,3041209,3041784,3041784,3041784,3041784,9284001,63661210,25553800,72945210,102215200,13498050,10040280.0
54,519.8963,533.4115,535.8974,535.8974,535.8974,535.8974,517.9323,517.9323,517.9323,517.9323,373.2423,507.7603,1157.105,1161.63,290.6818,290.6818,290.6818,290.6818,89,83.75848,13619340,13541680,13484340,13484340,13484340,13484340,13616390,13616390,13616390,13616390,4530058,3040666,3041236,3041236,3041236,3041236,9284604,63665380,25308510,72949990,101234000,13439920,10033870.0
55,519.5654,533.0775,535.497,535.497,535.497,535.497,517.6955,517.6955,517.6955,517.6955,373.2422,507.7519,1157.795,1162.13,290.7902,290.7902,290.7902,290.7902,89,84.4109,13569300,13491600,13434230,13434230,13434230,13434230,13566380,13566380,13566380,13566380,4529440,3040230,3040792,3040792,3040792,3040792,9284599,63665410,25067890,72950010,100271600,13395170,10025580.0
56,519.2413,532.7495,535.1067,535.1067,535.1067,535.1067,517.466,517.466,517.466,517.466,373.2422,507.7423,1158.444,1162.814,290.9681,290.9681,290.9681,290.9681,89,84.65398,13525240,13447480,13390080,13390080,13390080,13390080,13522330,13522330,13522330,13522330,4528660,3039622,3040176,3040176,3040176,3040176,9283604,63658570,24836830,72942180,99347320,13351250,10024570.0
57,518.9272,532.4271,534.7271,534.7271,534.7271,534.7271,517.2407,517.2407,517.2407,517.2407,373.2421,507.7309,1159.201,1163.373,291.1006,291.1006,291.1006,291.1006,89,84.72601,13483040,13405210,13347770,13347770,13347770,13347770,13480120,13480120,13480120,13480120,4527825,3038952,3039500,3039500,3039500,3039500,9282319,63649750,24613310,72932060,98453230,13308310,10024640.0
58,518.6269,532.1127,534.3574,534.3574,534.3574,534.3574,517.0203,517.0203,517.0203,517.0203,373.2421,507.7188,1159.944,1163.883,291.2188,291.2188,291.2188,291.2188,89,84.71445,13440840,13362950,13305480,13305480,13305480,13305480,13437920,13437920,13437920,13437920,4527022,3038262,3038804,3038804,3038804,3038804,9280643,63638260,24396370,72918900,97585490,13266240,10022400.0
59,518.3423,531.8106,533.9963,533.9963,533.9963,533.9963,516.8068,516.8068,516.8068,516.8068,373.2421,507.7119,1160.648,1164.411,291.3439,291.3439,291.3439,291.3439,89,86.41326,13399500,13321560,13264040,13264040,13264040,13264040,13396590,13396590,13396590,13396590,4527019,3038295,3038836,3038836,3038836,3038836,9278560,63623980,24175760,72902540,96703060,13224630,10022590.0
60,518.0731,531.5231,533.6417,533.6417,533.6417,533.6417,516.5981,516.5981,516.5981,516.5981,373.242,507.7066,1161.344,1164.92,291.467,291.467,291.467,291.467,89,86.07578,13358230,13280230,13222680,13222680,13222680,13222680,13355310,13355310,13355310,13355310,4525875,3037541,3038073,3038073,3038073,3038073,9276517,63609960,23975480,72886480,95901920,13183310,10025350.0
61,517.8173,531.2505,533.2939,533.2939,533.2939,533.2939,516.3878,516.3878,516.3878,516.3878,373.2419,507.6901,1162.015,1165.418,291.5876,291.5876,291.5876,291.5876,89,85.08186,13317070,13239020,13181440,13181440,13181440,13181440,13314160,13314160,13314160,13314160,4524667,3036482,3037009,3037009,3037009,3037009,9274769,63597980,23776390,72872740,95105540,13142320,10023720.0
62,517.5728,530.9919,532.9528,532.9528,532.9528,532.9528,516.1813,516.1813,516.1813,516.1813,373.2418,507.6733,1162.636,1165.939,291.7152,291.7152,291.7152,291.7152,89,84.54447,13275610,13197520,13139900,13139900,13139900,13139900,13272710,13272710,13272710,13272710,4523669,3035630,3036153,3036153,3036153,3036153,9273133,63586770,23579810,72859900,94319220,13099970,10018580.0
