time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
30,536.8367,557.8533,563.1092,563.1092,563.1092,563.1092,532.9541,532.9541,532.9541,532.9541,373.2469,508.7153,1094.951,1107.966,277.5843,277.5843,277.5843,277.5843,89,83.18307,13501190,13428530,13374440,13374440,13374440,13374440,13497870,13497870,13497870,13497870,4597052,3093576,3094314,3094314,3094314,3094314,14112390,96770030,42753240,110882400,171012900,13335050,9992074.0
31,536.0737,557.0256,562.3907,562.3907,562.3907,562.3907,532.581,532.581,532.581,532.581,373.2468,508.6876,1097.202,1109.165,277.9135,277.9135,277.9135,277.9135,89,83.02151,13525810,13452980,13398780,13398780,13398780,13398780,13522490,13522490,13522490,13522490,4595024,3091986,3092704,3092704,3092704,3092704,14104650,96716980,42270970,110821600,169083900,13359100,9988347.0
32,535.3919,556.2491,561.6315,561.6315,561.6315,561.6315,532.184,532.184,532.184,532.184,373.2466,508.6554,1099.514,1110.487,278.2774,278.2774,278.2774,278.2774,89,82.72448,13555430,13482440,13428120,13428120,13428120,13428120,13552120,13552120,13552120,13552120,4592793,3090170,3090870,3090870,3090870,3090870,14094430,96646890,41760590,110741300,167042400,13388100,9984549.0
33,534.7928,555.5435,560.8376,560.8376,560.8376,560.8376,531.7654,531.7654,531.7654,531.7654,373.2465,508.6199,1101.841,1111.938,278.6683,278.6683,278.6683,278.6683,89,82.3665,13588370,13515200,13460770,13460770,13460770,13460770,13585060,13585060,13585060,13585060,4590514,3088214,3088896,3088896,3088896,3088896,14083480,96571800,41224530,110655300,164898100,13420630,9984751.0
34,534.265,554.9155,560.0212,560.0212,560.0212,560.0212,531.3307,531.3307,531.3307,531.3307,373.2463,508.5867,1104.125,1113.525,279.084,279.084,279.084,279.084,89,82.19457,13622700,13549370,13494800,13494800,13494800,13494800,13619410,13619410,13619410,13619410,4588225,3086396,3087058,3087058,3087058,3087058,14073840,96505650,40669970,110579500,162679900,13454720,9983583.0
35,533.7899,554.3591,559.171,559.171,559.171,559.171,530.8867,530.8867,530.8867,530.8867,373.2462,508.5535,1106.333,1115.211,279.5106,279.5106,279.5106,279.5106,89,82.01258,13657480,13583990,13529290,13529290,13529290,13529290,13654200,13654200,13654200,13654200,4585912,3084553,3085195,3085195,3085195,3085195,14066500,96455320,40109570,110521800,160438300,13489180,9982187.0
36,533.3486,553.8605,558.3379,558.3379,558.3379,558.3379,530.4432,530.4432,530.4432,530.4432,373.246,508.5204,1108.383,1116.94,279.9336,279.9336,279.9336,279.9336,89,81.84856,13694100,13620450,13565630,13565630,13565630,13565630,13690830,13690830,13690830,13690830,4583672,3082738,3083361,3083361,3083361,3083361,14061700,96422460,39556060,110484200,158224300,13524980,9979088.0
37,532.9245,553.402,557.5445,557.5445,557.5445,557.5445,530.0123,530.0123,530.0123,530.0123,373.2458,508.4901,1110.285,1118.616,280.3251,280.3251,280.3251,280.3251,89,81.80289,13731550,13657750,13602810,13602810,13602810,13602810,13728290,13728290,13728290,13728290,4581613,3081095,3081700,3081700,3081700,3081700,14059070,96404370,39024300,110463400,156097200,13562070,9980599.0
38,532.5059,552.9674,556.8063,556.8063,556.8063,556.8063,529.5967,529.5967,529.5967,529.5967,373.2458,508.4651,1112.013,1120.227,280.689,280.689,280.689,280.689,89,82.45875,13770000,13696060,13641020,13641020,13641020,13641020,13766750,13766750,13766750,13766750,4580970,3080045,3080638,3080638,3080638,3080638,14058100,96397730,38512600,110455800,154050400,13600390,9981034.0
39,532.0861,552.5439,556.1312,556.1312,556.1312,556.1312,529.2191,529.2191,529.2191,529.2191,373.2458,508.4742,1113.599,1121.712,281.0121,281.0121,281.0121,281.0121,89,84.10471,13809600,13735540,13680400,13680400,13680400,13680400,13806370,13806370,13806370,13806370,4580070,3080311,3080889,3080889,3080889,3080889,14057970,96396830,38055240,110454800,152221000,13639900,9979290.0
